Month of Month,Year of Month,Systemwide Avg Daily Boardings,Day Of Week
July,FY 2016,479000,Saturday
August,FY 2016,492000,Saturday
September,FY 2016,487000,Saturday
October,FY 2016,483000,Saturday
November,FY 2016,447000,Saturday
December,FY 2016,437000,Saturday
January,FY 2016,442000,Saturday
February,FY 2016,489000,Saturday
March,FY 2016,445000,Saturday
April,FY 2016,460000,Saturday
May,FY 2016,461000,Saturday
June,FY 2016,471000,Saturday
July,FY 2017,463000,Saturday
August,FY 2017,468000,Saturday
September,FY 2017,449000,Saturday
October,FY 2017,462000,Saturday
November,FY 2017,440000,Saturday
January,FY 2017,417000,Saturday
February,FY 2017,430000,Saturday
March,FY 2017,440000,Saturday
April,FY 2017,449000,Saturday
May,FY 2017,447000,Saturday
June,FY 2017,455000,Saturday
July,FY 2018,453000,Saturday
August,FY 2018,459000,Saturday
September,FY 2018,453000,Saturday
October,FY 2018,453000,Saturday
November,FY 2018,423000,Saturday
January,FY 2018,420000,Saturday
February,FY 2018,432000,Saturday
March,FY 2018,424000,Saturday
July,FY 2016,443000,Sunday
August,FY 2016,445000,Sunday
September,FY 2016,429000,Sunday
October,FY 2016,437000,Sunday
November,FY 2016,373000,Sunday
December,FY 2016,342000,Sunday
January,FY 2016,369000,Sunday
February,FY 2016,409000,Sunday
March,FY 2016,384000,Sunday
April,FY 2016,402000,Sunday
May,FY 2016,418000,Sunday
June,FY 2016,444000,Sunday
July,FY 2017,419000,Sunday
August,FY 2017,423000,Sunday
September,FY 2017,412000,Sunday
October,FY 2017,396000,Sunday
November,FY 2017,379000,Sunday
December,FY 2017,345000,Sunday
January,FY 2017,334000,Sunday
February,FY 2017,360000,Sunday
March,FY 2017,381000,Sunday
April,FY 2017,391000,Sunday
May,FY 2017,401000,Sunday
June,FY 2017,423000,Sunday
July,FY 2018,399000,Sunday
August,FY 2018,398000,Sunday
September,FY 2018,394000,Sunday
October,FY 2018,395000,Sunday
November,FY 2018,353000,Sunday
December,FY 2018,332000,Sunday
January,FY 2018,346000,Sunday
February,FY 2018,365000,Sunday
March,FY 2018,370000,Sunday
July,FY 2016,716000,Weekday
August,FY 2016,732000,Weekday
September,FY 2016,746000,Weekday
October,FY 2016,750000,Weekday
November,FY 2016,705000,Weekday
December,FY 2016,679000,Weekday
January,FY 2016,713000,Weekday
February,FY 2016,752000,Weekday
March,FY 2016,728000,Weekday
April,FY 2016,738000,Weekday
May,FY 2016,739000,Weekday
June,FY 2016,718000,Weekday
July,FY 2017,717000,Weekday
August,FY 2017,743000,Weekday
September,FY 2017,745000,Weekday
October,FY 2017,734000,Weekday
November,FY 2017,716000,Weekday
December,FY 2017,666000,Weekday
January,FY 2017,677000,Weekday
February,FY 2017,712000,Weekday
March,FY 2017,709000,Weekday
April,FY 2017,721000,Weekday
May,FY 2017,731000,Weekday
June,FY 2017,708000,Weekday
July,FY 2018,702000,Weekday
August,FY 2018,725000,Weekday
September,FY 2018,753000,Weekday
October,FY 2018,736000,Weekday
November,FY 2018,698000,Weekday
December,FY 2018,673000,Weekday
January,FY 2018,673000,Weekday
February,FY 2018,724000,Weekday
March,FY 2018,706000,Weekday
